"","player","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"1190","Klay Thompson","Golden State Warriors","10/25/16",2016,4,9,56,"missed shot","Jump Shot","3PT Field Goal",25,"San Antonio Spurs",-1,252,39
"1191","Klay Thompson","Golden State Warriors","10/25/16",2016,3,9,26,"made shot","Jump Shot","2PT Field Goal",4,"San Antonio Spurs",22,38,27
"1192","Klay Thompson","Golden State Warriors","10/25/16",2016,3,8,31,"missed shot","Jump Shot","3PT Field Goal",26,"San Antonio Spurs",-199,169,28
"1193","Klay Thompson","Golden State Warriors","10/25/16",2016,1,5,23,"missed shot","Jump Shot","3PT Field Goal",23,"San Antonio Spurs",-230,-5,7
"1194","Klay Thompson","Golden State Warriors","11/21/16",2016,1,8,46,"missed shot","Jump Shot","3PT Field Goal",25,"Indiana Pacers",200,154,4
"1195","Klay Thompson","Golden State Warriors","2/1/17",2016,3,9,49,"missed shot","Jump Shot","2PT Field Goal",13,"Charlotte Hornets",132,16,27
"1196","Klay Thompson","Golden State Warriors","12/30/16",2016,4,0,54,"missed shot","Jump Shot","3PT Field Goal",27,"Dallas Mavericks",125,247,48
"1197","Klay Thompson","Golden State Warriors","12/30/16",2016,4,0,19,"missed shot","Jump Shot","3PT Field Goal",26,"Dallas Mavericks",204,169,48
"1198","Klay Thompson","Golden State Warriors","12/1/16",2016,4,9,47,"missed shot","Jump Shot","2PT Field Goal",14,"Houston Rockets",146,16,39
"1199","Klay Thompson","Golden State Warriors","12/5/16",2016,2,5,32,"missed shot","Jump Shot","3PT Field Goal",24,"Indiana Pacers",-240,46,19
"1200","Klay Thompson","Golden State Warriors","11/1/16",2016,2,8,30,"missed shot","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",145,208,16
"1201","Klay Thompson","Golden State Warriors","11/1/16",2016,2,9,56,"missed shot","Jump Shot","3PT Field Goal",27,"Portland Trail Blazers",-183,200,15
"1202","Klay Thompson","Golden State Warriors","12/5/16",2016,2,1,50,"missed shot","Jump Shot","3PT Field Goal",23,"Indiana Pacers",232,51,23
"1203","Klay Thompson","Golden State Warriors","12/5/16",2016,1,4,25,"missed shot","Jump Shot","2PT Field Goal",16,"Indiana Pacers",22,159,8
"1204","Klay Thompson","Golden State Warriors","12/5/16",2016,1,4,21,"missed shot","Jump Shot","3PT Field Goal",25,"Indiana Pacers",64,249,8
"1205","Klay Thompson","Golden State Warriors","12/5/16",2016,1,7,5,"missed shot","Jump Shot","2PT Field Goal",17,"Indiana Pacers",105,136,5
"1206","Klay Thompson","Golden State Warriors","12/5/16",2016,1,10,38,"made shot","Jump Shot","3PT Field Goal",24,"Indiana Pacers",-181,170,2
"1207","Klay Thompson","Golden State Warriors","12/5/16",2016,3,10,37,"missed shot","Jump Shot","2PT Field Goal",3,"Indiana Pacers",-12,31,26
"1208","Klay Thompson","Golden State Warriors","12/5/16",2016,1,8,18,"made shot","Jump Shot","2PT Field Goal",20,"Indiana Pacers",205,21,4
"1209","Klay Thompson","Golden State Warriors","12/5/16",2016,3,6,4,"missed shot","Jump Shot","3PT Field Goal",26,"Indiana Pacers",-192,178,30
"1210","Klay Thompson","Golden State Warriors","12/5/16",2016,3,7,43,"missed shot","Jump Shot","3PT Field Goal",23,"Indiana Pacers",-230,43,29
"1211","Klay Thompson","Golden State Warriors","12/1/16",2016,2,1,42,"missed shot","Jump Shot","3PT Field Goal",26,"Houston Rockets",-7,269,23
"1212","Klay Thompson","Golden State Warriors","11/1/16",2016,3,10,33,"missed shot","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",181,174,26
"1213","Klay Thompson","Golden State Warriors","11/1/16",2016,2,7,37,"made shot","Jump Shot","2PT Field Goal",19,"Portland Trail Blazers",-115,159,17
"1214","Klay Thompson","Golden State Warriors","3/5/17",2016,3,9,4,"missed shot","Jump Shot","2PT Field Goal",17,"New York Knicks",146,101,27
"1215","Klay Thompson","Golden State Warriors","3/5/17",2016,2,2,21,"missed shot","Jump Shot","3PT Field Goal",24,"New York Knicks",207,129,22
"1216","Klay Thompson","Golden State Warriors","11/1/16",2016,2,4,16,"missed shot","Jump Shot","3PT Field Goal",26,"Portland Trail Blazers",184,195,20
"1217","Klay Thompson","Golden State Warriors","12/30/16",2016,3,4,28,"made shot","Jump Shot","3PT Field Goal",25,"Dallas Mavericks",197,164,32
"1218","Klay Thompson","Golden State Warriors","1/18/17",2016,4,10,50,"missed shot","Jump Shot","2PT Field Goal",20,"Oklahoma City Thunder",200,26,38
"1219","Klay Thompson","Golden State Warriors","11/1/16",2016,4,6,54,"missed shot","Jump Shot","3PT Field Goal",24,"Portland Trail Blazers",125,210,42
"1220","Klay Thompson","Golden State Warriors","11/1/16",2016,2,2,16,"missed shot","Jump Shot","3PT Field Goal",23,"Portland Trail Blazers",230,18,22
"1221","Klay Thompson","Golden State Warriors","11/1/16",2016,4,4,47,"missed shot","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",78,242,44
"1222","Klay Thompson","Golden State Warriors","2/25/17",2016,3,7,46,"missed shot","Jump Shot","2PT Field Goal",15,"Brooklyn Nets",-145,61,29
"1223","Klay Thompson","Golden State Warriors","2/25/17",2016,1,8,18,"made shot","Jump Shot","3PT Field Goal",25,"Brooklyn Nets",-142,208,4
"1224","Klay Thompson","Golden State Warriors","2/25/17",2016,1,6,52,"missed shot","Jump Shot","2PT Field Goal",19,"Brooklyn Nets",-150,121,6
"1225","Klay Thompson","Golden State Warriors","2/25/17",2016,3,5,9,"missed shot","Jump Shot","3PT Field Goal",26,"Brooklyn Nets",169,198,31
"1226","Klay Thompson","Golden State Warriors","2/27/17",2016,2,9,30,"made shot","Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",-17,-6,15
"1227","Klay Thompson","Golden State Warriors","11/1/16",2016,2,2,39,"missed shot","Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",-12,2,22
"1228","Klay Thompson","Golden State Warriors","12/23/16",2016,3,11,46,"missed shot","Layup Shot","2PT Field Goal",1,"Detroit Pistons",10,0,25
"1229","Klay Thompson","Golden State Warriors","3/28/17",2016,2,9,42,"made shot","Layup Shot","2PT Field Goal",1,"Houston Rockets",12,-1,15
